n_estimators,min_samples_split,min_samples_leaf,max_depth,class_weight,Test Set Accuracy,Training Set Accuracy,Features
100,10,4,6,balanced,0.8918918918918919,0.9625850340136054,"['triangles', 'betweenness', 'closeness', 'pagerank']"
100,5,8,6,balanced,0.8783783783783784,0.9013605442176871,"['betweenness', 'closeness']"
100,10,8,6,balanced,0.8783783783783784,0.891156462585034,"['triangles', 'betweenness', 'closeness', 'pagerank', 'clustering']"
100,10,6,6,balanced,0.8783783783783784,0.9115646258503401,"['triangles', 'closeness', 'degree', 'pagerank']"
100,5,6,7,balanced,0.8783783783783784,0.9319727891156463,"['triangles', 'betweenness', 'closeness', 'degree', 'pagerank']"
100,10,8,6,balanced,0.8783783783783784,0.8809523809523809,"['triangles', 'betweenness', 'closeness']"
100,10,6,6,balanced,0.8783783783783784,0.9455782312925171,"['betweenness', 'closeness', 'degree', 'pagerank', 'clustering']"
100,10,4,7,balanced,0.8783783783783784,0.9319727891156463,"['betweenness', 'closeness', 'degree']"
100,5,4,6,balanced,0.8648648648648649,0.9387755102040817,"['betweenness', 'closeness', 'degree', 'clustering']"
100,5,8,6,balanced,0.8648648648648649,0.9217687074829932,"['betweenness', 'closeness', 'pagerank', 'clustering']"
100,5,8,6,balanced,0.8648648648648649,0.9149659863945578,"['betweenness', 'closeness', 'pagerank']"
100,5,8,6,balanced,0.8648648648648649,0.8809523809523809,"['triangles', 'closeness', 'degree', 'pagerank', 'clustering']"
100,5,8,6,balanced,0.8648648648648649,0.9081632653061225,"['triangles', 'betweenness', 'closeness', 'degree']"
100,10,8,7,balanced,0.8648648648648649,0.9013605442176871,"['closeness', 'pagerank']"
100,5,6,6,balanced,0.8513513513513513,0.9285714285714286,"['betweenness', 'closeness', 'degree', 'pagerank']"
100,5,8,6,balanced,0.8513513513513513,0.9013605442176871,"['triangles', 'closeness', 'degree', 'clustering']"
100,10,8,6,balanced,0.8513513513513513,0.8979591836734694,"['triangles', 'closeness', 'pagerank', 'clustering']"
100,10,8,7,balanced,0.8513513513513513,0.9149659863945578,"['triangles', 'betweenness', 'closeness', 'clustering']"
100,5,8,6,balanced,0.8513513513513513,0.8537414965986394,"['closeness', 'clustering']"
100,10,8,7,balanced,0.8378378378378378,0.8843537414965986,"['betweenness', 'closeness', 'clustering']"
